Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/29/19 ($m),Year
405,Franklin Resources,"9,059",344,"$6,618.00",-16.70%,"$1,726.70",-15.20%,"$16,099.00","$23,823.00",2017
406,Activision Blizzard,"9,500",532,"$6,608.00",41.70%,$966.00,8.30%,"$17,452.00","$37,487.00",2017
407,J.B. Hunt Transport Services,"22,190",416,"$6,556.00",5.90%,$432.10,1.10%,"$3,829.00","$10,212.00",2017
408,Constellation Brands,"9,000",429,"$6,548.00",8.60%,"$1,054.90",25.70%,"$16,965.00","$31,775.00",2017
409,NCR,"33,500",409,"$6,543.00",2.70%,$270.00,-,"$7,673.00","$5,620.00",2017
410,Asbury Automotive Group,"7,900",393,"$6,528.00",-0.90%,$167.20,-1.20%,"$2,336.00","$1,271.00",2017
411,American Financial Group,"7,600",421,"$6,498.00",5.70%,$649.00,84.40%,"$55,072.00","$8,303.00",2017
412,Discovery Communications,"7,000",406,"$6,497.00",1.60%,"$1,194.00",15.50%,"$15,758.00","$11,306.00",2017
413,Berry Global Group,"21,000",518,"$6,489.00",32.90%,$236.00,174.40%,"$7,653.00","$6,256.00",2017
414,Sanmina,"40,178",408,"$6,481.00",1.70%,$187.80,-50.20%,"$3,625.00","$3,016.00",2017
415,CalAtlantic Group,"3,055",640,"$6,477.00",83.00%,$484.70,127.00%,"$8,709.00","$4,291.00",2017
416,Dr Pepper Snapple Group,"20,000",413,"$6,440.00",2.50%,$847.00,10.90%,"$9,791.00","$17,997.00",2017
417,Dillard’s,"30,800",380,"$6,418.00",-5.00%,$169.20,-37.20%,"$3,888.00","$1,645.00",2017
418,HRG Group,"16,021",441,"$6,403.00",10.10%,-$198.80,-,"$35,793.00","$3,869.00",2017
419,CMS Energy,"7,750",403,"$6,399.00",-0.90%,$551.00,5.40%,"$21,622.00","$12,528.00",2017
420,Graybar Electric,"8,500",423,"$6,385.00",4.50%,$93.10,2.20%,"$2,099.00",-,2017
421,Builders FirstSource,"14,000",637,"$6,367.00",78.60%,$144.30,-,"$2,910.00","$1,669.00",2017
422,Yum Brands,"90,000",218,"$6,366.00",-51.40%,"$1,619.00",25.20%,"$5,478.00","$22,611.00",2017
423,Casey’s General Stores,"24,724",374,"$6,304.00",-10.60%,$226.00,25.10%,"$2,726.00","$4,400.00",2017
424,Amphenol,"62,000",462,"$6,286.00",12.90%,$822.90,7.80%,"$8,499.00","$21,897.00",2017
425,Oshkosh,"13,800",424,"$6,279.00",3.00%,$216.40,-5.70%,"$4,514.00","$5,118.00",2017
426,iHeartMedia,"18,700",414,"$6,274.00",0.50%,-$296.30,-,"$12,862.00",$330.00,2017
427,TreeHouse Foods,"16,027",686,"$6,175.00",92.60%,-$228.60,-298.90%,"$6,546.00","$4,813.00",2017
428,Alleghany,"3,420",509,"$6,131.00",22.60%,$456.90,-18.50%,"$23,757.00","$9,476.00",2017
429,Expeditors International of Washington,"16,000",390,"$6,098.00",-7.80%,$430.80,-5.80%,"$2,791.00","$10,208.00",2017
430,Avery Dennison,"25,000",435,"$6,087.00",2.00%,$320.70,16.90%,"$4,396.00","$7,157.00",2017
431,Ameren,"8,629",425,"$6,076.00",-0.40%,$653.00,3.70%,"$24,699.00","$13,245.00",2017
432,Hanesbrands,"67,800",448,"$6,063.00",5.80%,$539.40,25.80%,"$6,908.00","$7,733.00",2017
433,Motorola Solutions,"14,000",451,"$6,038.00",6.00%,$560.00,-8.20%,"$8,463.00","$14,131.00",2017
434,St. Jude Medical,"18,000",465,"$6,004.00",8.40%,$734.00,-16.60%,"$12,578.00",-,2017
435,Harley-Davidson,"6,000",432,"$5,997.00",-,$692.20,-8.00%,"$9,890.00","$10,626.00",2017
436,Regions Financial,"22,166",453,"$5,967.00",5.20%,"$1,163.00",9.50%,"$125,968.00","$17,512.00",2017
437,Intercontinental Exchange,"5,631",529,"$5,958.00",27.30%,"$1,422.00",11.60%,"$82,003.00","$35,530.00",2017
438,Alaska Air Group,"19,112",459,"$5,931.00",5.90%,$814.00,-4.00%,"$9,962.00","$11,407.00",2017
439,Old Republic International,"8,500",442,"$5,901.00",2.30%,$466.90,10.60%,"$18,592.00","$5,382.00",2017
440,Lam Research,"7,500",491,"$5,886.00",11.90%,$914.00,39.40%,"$12,272.00","$20,903.00",2017
441,AK Steel Holding,"8,500",383,"$5,883.00",-12.10%,-$7.80,-,"$4,036.00","$2,263.00",2017
442,Rockwell Automation,"22,000",412,"$5,880.00",-6.80%,$729.70,-11.80%,"$7,101.00","$20,024.00",2017
443,Adobe Systems,"15,706",524,"$5,854.00",22.10%,"$1,168.80",85.70%,"$12,707.00","$64,375.00",2017
444,Avon Products,"26,400",370,"$5,853.00",-18.40%,-$107.60,-,"$3,419.00","$1,933.00",2017
445,Terex,"18,100",396,"$5,841.00",-10.70%,-$176.10,-220.70%,"$5,007.00","$3,250.00",2017
446,NVR,"4,900",498,"$5,835.00",12.90%,$425.30,11.10%,"$2,644.00","$7,851.00",2017
447,Dana Holding,"24,900",428,"$5,826.00",-3.90%,$640.00,302.50%,"$4,860.00","$2,783.00",2017
448,Realogy Holdings,"11,800",449,"$5,810.00",1.80%,$213.00,15.80%,"$7,421.00","$4,173.00",2017
449,American Tower,"4,507",526,"$5,786.00",21.30%,$956.40,39.60%,"$30,879.00","$51,921.00",2017
450,Packaging Corp. of America,"14,000",446,"$5,779.00",0.60%,$449.60,2.90%,"$5,777.00","$8,631.00",2017
451,Citizens Financial Group,"17,600",486,"$5,763.00",9.20%,"$1,045.00",24.40%,"$149,520.00","$17,597.00",2017
452,United Rentals,"12,500",440,"$5,762.00",-0.90%,$566.00,-3.20%,"$11,988.00","$10,561.00",2017
453,Clorox,"8,000",455,"$5,761.00",1.70%,$648.00,11.70%,"$4,518.00","$17,294.00",2017
454,Genesis Healthcare,"82,000",457,"$5,733.00",2.00%,-$64.00,-,"$5,779.00",$408.00,2017
455,M&T Bank Corp.,"16,487",510,"$5,722.00",14.50%,"$1,315.10",21.80%,"$123,449.00","$23,792.00",2017
456,Ingredion,"11,000",456,"$5,704.00",1.50%,$484.90,20.60%,"$5,782.00","$8,646.00",2017
457,UGI,"13,105",384,"$5,686.00",-15.00%,$364.70,29.80%,"$10,847.00","$8,543.00",2017
458,Owens Corning,"16,000",480,"$5,677.00",6.10%,$393.00,19.10%,"$7,741.00","$6,910.00",2017
459,S&P Global,"20,000",481,"$5,661.00",6.60%,"$2,106.00",82.20%,"$8,669.00","$33,805.00",2017
460,Markel,"10,900",476,"$5,612.00",4.50%,$455.70,-21.80%,"$25,875.00","$13,623.00",2017
461,Wyndham Worldwide,"37,800",466,"$5,599.00",1.10%,$611.00,-0.20%,"$9,819.00","$8,829.00",2017
462,Arthur J. Gallagher,"24,790",471,"$5,595.00",3.80%,$414.40,16.10%,"$11,490.00","$10,148.00",2017
463,Burlington Stores,"40,000",500,"$5,591.00",9.00%,$215.90,43.50%,"$2,575.00","$6,836.00",2017
464,First American Financial,"19,531",497,"$5,576.00",7.70%,$343.00,19.10%,"$8,832.00","$4,332.00",2017
465,Symantec,"11,000",400,"$5,568.00",-14.40%,"$2,488.00",183.40%,"$11,767.00","$18,986.00",2017
466,Patterson,"7,000",559,"$5,555.00",27.00%,$187.20,-16.20%,"$3,521.00","$4,393.00",2017
467,Olin,"6,400",761,"$5,551.00",94.50%,-$3.90,-,"$8,763.00","$5,444.00",2017
468,NetApp,"12,030",422,"$5,546.00",-9.40%,$229.00,-59.10%,"$10,037.00","$11,339.00",2017
469,Raymond James Financial,"11,900",482,"$5,520.00",4.00%,$529.40,5.40%,"$31,594.00","$10,958.00",2017
470,TravelCenters of America,"20,259",439,"$5,511.00",-5.80%,-$2.00,-107.30%,"$1,660.00",$241.00,2017
471,Fiserv,"23,000",492,"$5,505.00",4.80%,$930.00,30.60%,"$9,743.00","$24,741.00",2017
472,Host Hotels & Resorts,"220,000",472,"$5,488.00",1.90%,$762.00,36.60%,"$11,408.00","$13,794.00",2017
473,Insight Enterprises,"5,930",474,"$5,486.00",2.10%,$84.70,11.70%,"$2,219.00","$1,458.00",2017
474,Mattel,"32,000",450,"$5,457.00",-4.30%,$318.00,-13.90%,"$6,494.00","$8,770.00",2017
475,AmTrust Financial Services,"8,000",531,"$5,451.00",18.10%,$411.00,-8.80%,"$22,615.00","$3,158.00",2017
476,Cincinnati Financial,"4,754",499,"$5,449.00",6.00%,$590.70,-6.80%,"$20,386.00","$11,911.00",2017
477,Simon Property Group,"4,050",488,"$5,435.00",3.20%,"$1,838.90",0.60%,"$31,104.00","$53,732.00",2017
478,Western Union,"10,700",468,"$5,423.00",-1.10%,$253.20,-69.80%,"$9,420.00","$9,691.00",2017
479,KeyCorp,"15,700",540,"$5,422.00",19.40%,$791.00,-13.60%,"$136,453.00","$19,238.00",2017
480,Delek US Holdings,"1,326",445,"$5,414.00",-6.00%,-$153.70,-892.30%,"$2,985.00","$1,504.00",2017
481,Booz Allen Hamilton Holding,"22,600",487,"$5,406.00",2.50%,$294.10,26.50%,"$3,010.00","$5,307.00",2017
482,Chemours,"7,000",,"$5,400.00",-,$7.00,-,"$6,060.00","$7,080.00",2017
483,Western & Southern Financial Group,"2,178",479,"$5,398.00",0.80%,$241.20,-47.20%,"$43,831.00",-,2017
484,Celanese,"7,293",453,"$5,389.00",-5.00%,$900.00,196.10%,"$8,357.00","$12,643.00",2017
485,Windstream Holdings,"11,870",443,"$5,387.00",-6.60%,-$383.50,-,"$11,770.00","$1,038.00",2017
486,Seaboard,"11,781",460,"$5,379.00",-3.80%,$312.00,82.50%,"$4,755.00","$4,881.00",2017
487,Essendant,"6,600",477,"$5,369.00",0.10%,$63.90,-,"$2,164.00",$568.00,2017
488,Apache,"3,727",388,"$5,354.00",-19.50%,"-$1,405.00",-,"$22,519.00","$19,547.00",2017
489,Airgas,"17,000",484,"$5,314.00",0.20%,$337.50,-8.30%,"$6,135.00",-,2017
490,Kelly Services,"7,500",467,"$5,277.00",-4.40%,$120.80,124.50%,"$2,028.00",$836.00,2017
491,Liberty Media,"3,626",525,"$5,276.00",10.00%,$680.00,962.50%,"$31,377.00","$13,055.00",2017
492,Rockwell Collins,"19,000",490,"$5,259.00",-0.10%,$728.00,6.10%,"$7,707.00","$12,711.00",2017
493,Robert Half International,"16,400",503,"$5,250.00",3.10%,$343.40,-4.00%,"$1,778.00","$6,240.00",2017
494,CH2M Hill,"20,000",478,"$5,236.00",-2.30%,$15.00,-81.30%,"$2,671.00",-,2017
495,Big Lots,"23,150",495,"$5,200.00",0.20%,$152.80,7.00%,"$1,608.00","$2,180.00",2017
496,Michaels Cos.,"31,000",517,"$5,197.00",5.80%,$378.20,4.20%,"$2,148.00","$4,229.00",2017
497,Toll Brothers,"4,200",576,"$5,170.00",23.90%,$382.10,5.20%,"$9,737.00","$5,872.00",2017
498,Yahoo,"8,500",513,"$5,169.00",4.00%,-$214.30,-,"$48,083.00","$44,391.00",2017
499,Vistra Energy,"4,431",,"$5,164.00",-,-,-,"$15,167.00","$6,968.00",2017
500,ABM Industries,"110,000",485,"$5,145.00",-2.80%,$57.20,-25.00%,"$2,281.00","$2,428.00",2017
